Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Sistema) 	Residence time (Sistema) 	Utilization (Sistema)
530.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 2.076589665833334	 11.999999999999998
535.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 2.1046707004166674	 11.999999999999998
540.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.1327517350000007	 12.0
545.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.160832769583334	 12.0
550.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.1889138041666674	 12.0
555.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.2169948387500007	 12.0
560.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.245075873333334	 12.0
565.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.2731569079166674	 12.0
570.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.3012379425000007	 12.0
575.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.329318977083334	 12.0
580.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.3574000116666673	 12.0
585.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.3854810462500007	 12.0
590.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.413562080833334	 12.0
595.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.4416431154166673	 12.0
600.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.4697241500000007	 12.0
605.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.497805184583334	 12.0
610.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.5258862191666673	 12.0
615.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.5539672537500007	 12.0
620.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.582048288333334	 12.0
625.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.6101293229166673	 12.0
630.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.6382103575000007	 12.0
635.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.666291392083334	 12.0
640.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.6943724266666673	 12.0
645.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.7224534612500007	 12.0
650.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.750534495833334	 12.0
655.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.7786155304166673	 12.0
660.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.8066965650000006	 12.0
665.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.834777599583334	 12.0
670.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.8628586341666673	 12.0
675.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.8909396687500006	 12.0
680.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.919020703333334	 12.0
685.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.9471017379166673	 12.0
690.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 2.9751827725000006	 12.0
695.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 3.003263807083334	 12.0
700.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 3.0313448416666673	 12.0
705.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 3.0594258762500006	 12.0
710.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 3.087506910833334	 12.0
715.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 3.115587945416668	 11.999999999999998
720.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 3.1436689800000006	 12.0
725.0	 Peticiones	 178.05611773889564	 0.9	 160.25050596500608	 178.05611773889564	 3.1717500145833335	 12.000000000000004
730.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 3.199831049166667	 12.0
735.0	 Peticiones	 178.05611773889564	 0.9	 160.25050596500608	 178.05611773889564	 3.22791208375	 12.000000000000004
740.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 3.2559931183333335	 12.0
745.0	 Peticiones	 178.05611773889564	 0.9	 160.25050596500608	 178.05611773889564	 3.284074152916667	 12.000000000000004
750.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 3.3121551875	 12.0
755.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 3.340236222083334	 11.999999999999998
760.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 3.368317256666667	 12.0
765.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 3.3963982912500006	 11.999999999999998
770.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 3.4244793258333335	 12.0
775.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 3.4525603604166673	 11.999999999999998
780.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 3.480641395	 12.0
785.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 3.508722429583334	 11.999999999999998
790.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 3.536803464166667	 12.0
795.0	 Peticiones	 178.05611773889558	 0.9	 160.25050596500603	 178.05611773889558	 3.5648844987500006	 11.999999999999998
800.0	 Peticiones	 178.0561177388956	 0.9	 160.25050596500606	 178.0561177388956	 3.5929655333333335	 12.0
