Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Red) 	Residence time (Red) 	Utilization (Red)	Throughput (CPU) 	Residence time (CPU) 	Utilization (CPU)	Throughput (Disco) 	Residence time (Disco) 	Utilization (Disco)
220.0	 Peticiones	 209.3227467356938	 0.9	 188.39047206212445	 209.3227467356938	 1.0683787262525358E-5	 0.002231380480202496	 209.3227467356938	 0.0881073491660643	 10.932840278808722	 209.3227467356938	 0.06289053363016077	 0.9555371399543905
225.0	 Peticiones	 211.3961320994897	 0.9	 190.25651888954073	 211.3961320994897	 1.0684032262654155E-5	 0.00225348276818056	 211.3961320994897	 0.0920787891278246	 11.041132336754162	 211.3961320994897	 0.07226301884344608	 0.9650019341606619
230.0	 Peticiones	 213.11162061780558	 0.9	 191.80045855602503	 213.11162061780558	 1.0684236125313429E-5	 0.0022717698757858075	 213.11162061780558	 0.09624556257117695	 11.130731590840767	 213.11162061780558	 0.08299039086189376	 0.9728329655128635
235.0	 Peticiones	 214.49238827126158	 0.9	 193.04314944413542	 214.49238827126158	 1.068440110528941E-5	 0.0022864888589716483	 214.49238827126158	 0.10051232169290031	 11.202848512927792	 214.49238827126158	 0.09508696819936227	 0.979136030015408
240.0	 Peticiones	 215.5762712025094	 0.9	 194.01864408225845	 215.5762712025094	 1.0684531226323614E-5	 0.00229804305101875	 215.5762712025094	 0.10477149723296453	 11.25945926905943	 215.5762712025094	 0.10851288851999295	 0.9840838458276936
245.0	 Peticiones	 216.41006036316205	 0.9	 194.76905432684583	 216.41006036316205	 1.068463168463816E-5	 0.0023069312434713073	 216.41006036316205	 0.10891714310930445	 11.303007731239358	 216.41006036316205	 0.1231822025822805	 0.9878900089051398
250.0	 Peticiones	 217.04267393919176	 0.9	 195.3384065452726	 217.04267393919176	 1.0684708074274052E-5	 0.002313674904191784	 217.04267393919176	 0.11285794674190724	 11.336048876039888	 217.04267393919176	 0.13897858579376557	 0.9907778258125828
255.0	 Peticiones	 217.51936232243	 0.9	 195.767426090187	 217.51936232243	 1.0684765685108265E-5	 0.0023187564023571037	 217.51936232243	 0.11652572915964352	 11.360946112666005	 217.51936232243	 0.15577301764615722	 0.9929538600060577
260.0	 Peticiones	 217.8782713929912	 0.9	 196.09044425369208	 217.8782713929912	 1.0684809051181384E-5	 0.002322582373049286	 217.8782713929912	 0.11987803465838359	 11.37969178462117	 217.8782713929912	 0.17343817053268368	 0.9945922435651114
265.0	 Peticiones	 218.14944613410952	 0.9	 196.33450152069858	 218.14944613410952	 1.0684841785927206E-5	 0.0023254730957896074	 218.14944613410952	 0.12289584248019753	 11.393855128923342	 218.14944613410952	 0.1918570427724767	 0.9958301287954407
