Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Red) 	Residence time (Red) 	Utilization (Red)	Throughput (CPU) 	Residence time (CPU) 	Utilization (CPU)	Throughput (Disco) 	Residence time (Disco) 	Utilization (Disco)
75.0	 Peticiones	 77.93972788236105	 0.9	 70.14575509412495	 155.8794557647221	 1.0668747271412403E-5	 8.308374992259688E-4	 1332.5174984621697	 0.05055389356839725	 3.7976748706171835	 1254.5777705798087	 0.011717473274728019	 0.4830124416732263
80.0	 Peticiones	 83.0569985522298	 0.9	 74.75129869700682	 166.1139971044596	 1.0669330150812773E-5	 8.853876045667697E-4	 1420.0062913696765	 0.05073537056245938	 4.0470179304035785	 1336.9492928174468	 0.012447928038852762	 0.514725477734717
85.0	 Peticiones	 88.15522202218857	 0.9	 79.33969981996971	 176.31044404437714	 1.066991099212465E-5	 9.397346667565301E-4	 1507.1694387063515	 0.0509275853377986	 4.295432900313102	 1419.0142166841629	 0.013270081480321003	 0.5463204734234027
90.0	 Peticiones	 93.23107843409235	 0.9	 83.90797059068312	 186.4621568681847	 1.0670489432284144E-5	 9.938432961074245E-4	 1593.950181625444	 0.05113138083884736	 4.542758017632515	 1500.7191031913515	 0.014201281728019927	 0.5777768547286704
95.0	 Peticiones	 98.28044679620675	 0.9	 88.45240211658607	 196.5608935924135	 1.067106502147617E-5	 0.001047669562847564	 1680.2780644845452	 0.051347653889366726	 4.788792483780954	 1581.9976176883383	 0.015263247259166727	 0.6090690828100103
100.0	 Peticiones	 103.29816126012857	 0.9	 92.96834513411571	 206.59632252025713	 1.0671637196956393E-5	 0.0011011583990329704	 1766.0647679684785	 0.05157734494334446	 5.033284588710163	 1662.7666067083499	 0.016483426125751814	 0.6401651435827147
105.0	 Peticiones	 108.27768052504666	 0.9	 97.449912472542	 216.55536105009332	 1.0672205247590163E-5	 0.0011542400743969974	 1851.1984569704196	 0.05182141829889009	 5.2759156023656955	 1742.920776445373	 0.017896846159882608	 0.6710244989314685
110.0	 Peticiones	 113.21063683882625	 0.9	 101.88957315494362	 226.4212736776525	 1.0672768265522206E-5	 0.0012068253887018876	 1935.5360699677617	 0.052080827340017476	 5.516277799408121	 1822.3254331289356	 0.019548648481313664	 0.7015952917546402
115.0	 Peticiones	 118.08621889700065	 0.9	 106.27759700730059	 236.1724377940013	 1.0673325080065452E-5	 0.0012587990934420268	 2018.8927685889269	 0.05235645655473602	 5.7538443904784415	 1900.8065496919262	 0.02149756893239184	 0.7318105216313916
120.0	 Peticiones	 122.8903286397524	 0.9	 110.60129577577716	 245.7806572795048	 1.0673874167297132E-5	 0.0013100109032997604	 2101.0275215664014	 0.05264902799143465	 5.987928436464244	 1978.1371929266488	 0.02382072037962401	 0.7615828192767599
125.0	 Peticiones	 127.60443890542643	 0.9	 114.84399501488379	 255.20887781085287	 1.0674413527274159E-5	 0.0013602633187318458	 2181.623574303101	 0.05295895419273226	 6.2176271867638375	 2054.0191353976747	 0.026620118210019337	 0.7907973671281048
130.0	 Peticiones	 132.20407718684316	 0.9	 118.98366946815885	 264.40815437368633	 1.0674940520168956E-5	 0.001409295462811748	 2260.262526004796	 0.05328611269931147	 6.44174819911367	 2128.058448817953	 0.030031433140166257	 0.8193025027949119
135.0	 Peticiones	 136.65689500896596	 0.9	 122.99120550806937	 273.3137900179319	 1.0675451655358792E-5	 0.001456762500795577	 2336.3913222766864	 0.05362951068689852	 6.658715268488557	 2199.7344272677205	 0.034235324944459876	 0.8468977544980725
