
HORA INICIO DE MEDICION  Mon Jan  9 10:29:03 2023

HORA FIN DE MEDICION Mon Jan  9 10:32:03 2023
 

Parametros del experimento: 
Usuarios: 50; Tpo. Reflex (seg); 1.900000; IP servidor: 192.168.203.238; Transitorio (seg): 20; Medicion (seg): 180 
Nº usu.; Nº pet.; Tpo Reflex (mseg); Tpo. Ini. (mseg); Tpo. Fin (mseg)
2;24;1404.997803;69533.289063;69548.554688
2;25;1790.873413;70955.265625;70969.187500
2;26;613.258606;72767.976563;72785.796875
2;27;2579.733398;73408.656250;73427.187500
2;28;1710.754272;76006.468750;76021.132813
2;29;3531.168945;77741.507813;77749.976563
2;30;2108.111328;81283.781250;81303.921875
2;31;5440.480469;83421.937500;83430.593750
2;32;3451.437988;88879.523438;88900.460938
2;33;1349.463989;92364.257813;92378.140625
2;34;921.283569;93739.765625;93751.460938
2;35;5491.163086;94685.804688;94701.398438
2;36;1653.156616;100193.656250;100202.062500
2;37;1042.018921;101865.687500;101888.625000
2;38;195.674545;102944.125000;102969.625000
2;39;2476.891846;103178.523438;103186.093750
2;40;791.221069;105664.593750;105678.578125
2;41;139.590851;106477.195313;106491.453125
2;42;1813.114014;106633.476563;106641.585938
2;43;2355.159668;108468.085938;108491.835938
2;44;116.554909;110858.960938;110876.609375
2;45;1064.029419;110999.601563;111021.210938
2;46;642.500244;112093.484375;112100.968750
2;47;1636.071289;112749.789063;112770.937500
2;48;1901.159180;114421.835938;114485.695313
2;49;2248.851074;116393.242188;116418.765625
2;50;1287.281616;118674.703125;118693.843750
2;51;2015.875610;119987.359375;120005.585938
2;52;1162.529663;122020.781250;122032.984375
2;53;2959.196777;123208.375000;123221.554688
2;54;450.533630;126181.890625;126205.671875
2;55;280.509888;126666.265625;126700.968750
2;56;2579.955078;126994.414063;127037.531250
2;57;441.075165;129628.031250;129640.226563
2;58;763.580994;130083.250000;130091.093750
2;59;5388.338867;130866.515625;130887.453125
2;60;4531.292969;136281.328125;136299.015625
2;61;4431.472656;140832.171875;140851.687500
2;62;3313.041016;145289.078125;145298.296875
2;63;358.706909;148618.468750;148639.359375
2;64;3419.807373;149009.062500;149022.984375
2;65;95.189133;152450.171875;152468.468750
2;66;527.299866;152575.234375;152587.031250
2;67;554.497009;153127.250000;153150.125000
2;68;1415.251343;153705.453125;153717.500000
2;69;829.941833;155137.156250;155158.921875
2;70;4842.537598;155997.234375;156020.968750
2;71;2014.705200;160874.578125;160888.406250
2;72;2505.953125;162906.046875;162920.250000
