
HORA INICIO DE MEDICION  Mon Jan  9 09:42:35 2023

HORA FIN DE MEDICION Mon Jan  9 09:45:05 2023
 

Parametros del experimento: 
Usuarios: 100; Tpo. Reflex (seg); 2.000000; IP servidor: 192.168.203.238; Transitorio (seg): 20; Medicion (seg): 150 
Nº usu.; Nº pet.; Tpo Reflex (mseg); Tpo. Ini. (mseg); Tpo. Fin (mseg)
1;15;1586.753662;55144.171875;55157.367188
1;16;1446.960449;56753.718750;56775.828125
1;17;1809.943359;58226.570313;58247.343750
1;18;2097.979492;60059.902344;60077.246094
1;19;929.621277;62184.992188;62198.000000
1;20;2658.414307;63141.722656;63158.000000
1;21;6.419220;65824.859375;65850.851563
1;22;3033.183350;65871.742188;65887.992188
1;23;536.537292;68936.078125;68943.351563
1;24;1094.180908;69483.250000;69502.531250
1;25;7818.986328;70601.250000;70633.828125
1;26;324.316345;78466.539063;78483.914063
1;27;33.669121;78810.312500;78817.570313
1;28;100.380829;78857.195313;78871.523438
1;29;617.825500;78982.257813;79002.726563
1;30;1529.160278;79629.117188;79654.734375
1;31;4444.948730;81192.632813;81205.914063
1;32;142.931442;85658.835938;85675.406250
1;33;153.448517;85830.750000;85984.085938
1;34;204.985016;86143.234375;86155.375000
1;35;1252.500000;86362.109375;86393.156250
1;36;4340.672363;87645.835938;87659.046875
1;37;61.610138;92011.234375;92024.601563
1;38;5705.689941;92089.421875;92112.023438
1;39;7947.860352;97828.960938;97852.070313
1;40;1869.822998;105812.726563;105843.546875
1;41;3214.729736;107719.851563;107734.703125
1;42;1896.742432;110955.320313;110966.406250
1;43;2397.211670;112869.265625;112896.007813
1;44;670.553284;115301.757813;115309.273438
1;45;545.657349;115989.429688;115996.703125
1;46;5.806881;116551.968750;116569.390625
1;47;70.442093;116583.312500;116606.078125
1;48;3964.919678;116676.953125;116695.882813
1;49;1109.960205;120671.718750;120694.585938
1;50;2101.991211;121814.570313;121825.601563
1;51;1665.470337;123933.914063;124046.203125
1;52;1609.963135;125721.367188;125735.484375
1;53;1035.042725;127346.687500;127373.578125
1;54;4185.859863;128410.500000;128433.539063
1;55;1282.060425;132623.984375;132637.390625
1;56;3974.247803;133925.640625;133951.968750
1;57;8580.308594;137937.484375;137964.500000
1;58;2751.157715;146552.859375;146576.656250
1;59;1579.076660;149337.953125;149351.500000
1;60;7791.775391;150936.312500;150955.546875
1;61;1253.071045;158751.593750;158764.406250
1;62;768.415222;160033.109375;160057.828125
1;63;736.317871;160830.062500;160840.843750
1;64;2728.103027;161580.125000;161594.453125
1;65;1695.307861;164331.000000;164351.703125
1;66;307.091187;166061.703125;166069.218750
1;67;983.682678;166379.906250;166408.234375
1;68;5245.483398;167400.468750;167417.656250
2;0;5264.064453;20938.046875;20979.882813
2;1;6819.373535;26257.898438;26268.212891
2;2;972.633728;33098.296875;33149.812500
2;3;144.308746;34123.695313;34137.769531
2;4;141.882828;34295.648438;34310.546875
2;5;3277.529541;34451.906250;34467.488281
2;6;494.206055;37745.554688;37864.230469
2;7;265.746582;38370.652344;38389.843750
2;8;1064.445190;38667.898438;38680.992188
2;9;2502.964111;39746.132813;39767.261719
2;10;634.101685;42278.386719;42290.253906
2;11;3612.723877;42939.546875;42956.699219
2;12;137.824432;46578.800781;46606.808594
2;13;444.502563;46750.929688;46763.730469
2;14;86.884804;47219.773438;47243.785156
2;15;295.170685;47344.730469;47352.585938
2;16;1144.059326;47657.316406;47668.742188
2;17;5210.482422;48814.390625;48829.382813
2;18;1014.360535;54050.039063;54066.375000
2;19;870.558472;55081.730469;55092.710938
2;20;650.680420;55972.230469;55989.578125
2;21;5328.739258;56644.394531;56655.796875
2;22;3211.686279;61997.695313;62011.386719
2;23;4385.010742;65231.007813;65252.390625
2;24;1404.997803;69639.609375;69752.835938
2;25;1790.873413;71165.664063;71174.703125
2;26;613.258606;72966.781250;72979.171875
2;27;2579.733398;73607.539063;73634.101563
2;28;1710.754272;76225.757813;76247.875000
2;29;3531.168945;77963.484375;77972.250000
2;30;2108.111328;81505.132813;81529.773438
2;31;5440.480469;83640.351563;83663.164063
2;32;3451.437988;89115.515625;89131.835938
2;33;1349.463989;92591.429688;92620.492188
2;34;921.283569;93982.617188;94001.570313
2;35;5491.163086;94936.382813;94959.046875
2;36;1653.156616;100463.984375;100487.062500
2;37;1042.018921;102151.312500;102173.343750
2;38;195.674545;103228.976563;103240.304688
2;39;2476.891846;103447.687500;103458.671875
2;40;791.221069;105937.742188;105960.781250
2;41;139.590851;106765.968750;106789.039063
2;42;1813.114014;106937.742188;106957.953125
2;43;2355.159668;108782.421875;108794.914063
