Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Red) 	Residence time (Red) 	Utilization (Red)	Throughput (CPU) 	Residence time (CPU) 	Utilization (CPU)	Throughput (Disco) 	Residence time (Disco) 	Utilization (Disco)
126.0	 Peticiones	 61.134799229517824	 2.0	 122.26959845903565	 122.26959845903565	 2.4128670819157546E-5	 0.0014729451717564648	 794.7841813509349	 0.05317107572676729	 1.4584289727789657	 733.649382121417	 0.007824077385925011	 0.32472862316396367
136.0	 Peticiones	 65.69380386907956	 2.0	 131.38760773815912	 131.38760773815912	 2.413133305723667E-5	 0.0015827870941392814	 854.0536124424773	 0.062073191829499316	 1.567188378831946	 788.3598085733977	 0.008113137949314344	 0.34894460683056583
146.0	 Peticiones	 70.0787774021998	 2.0	 140.1575548043996	 140.1575548043996	 2.413389926301222E-5	 0.0016884360154621606	 911.0605486504852	 0.07493259105103846	 1.6717961067736404	 840.9817712482853	 0.008412954318917379	 0.3722361925716873
157.0	 Peticiones	 74.56654209098713	 2.0	 149.13308418197425	 149.13308418197425	 2.4136536765847902E-5	 0.0017965615252149892	 969.403823335704	 0.09673195499509409	 1.778856015821017	 894.8372812447169	 0.008745861454325715	 0.3960737722618178
167.0	 Peticiones	 78.13486708078703	 2.0	 156.26973416157406	 156.26973416157406	 2.413865120193093E-5	 0.0018825346065242342	 1015.7939038063187	 0.12827193386778027	 1.863981813484595	 937.6590367255316	 0.009033985614110335	 0.41502758049449145
177.0	 Peticiones	 80.93427174410976	 2.0	 161.86854348821953	 161.86854348821953	 2.4140335033536835E-5	 0.001949981782839534	 1052.1876201781668	 0.17765548729660663	 1.930764283026936	 971.253348434057	 0.009280187854458315	 0.42989712833723065
187.0	 Peticiones	 82.72237609524197	 2.0	 165.44475219048394	 165.44475219048394	 2.414143889381434E-5	 0.001993063296213103	 1075.4339065943404	 0.25109649453707655	 1.973421218600615	 992.7115304990986	 0.009452727931015956	 0.43939497034104147
197.0	 Peticiones	 83.54439114872754	 2.0	 167.08878229745508	 167.08878229745508	 2.414196638226617E-5	 0.0020128684337027522	 1086.1205297545787	 0.3484631894980992	 1.993031172099652	 1002.5761386058512	 0.009540506087129906	 0.4437612530458604
207.0	 Peticiones	 83.78756975229278	 2.0	 167.57513950458556	 167.57513950458556	 2.4142130074952556E-5	 0.002018727433069891	 1089.2819780588588	 0.4609399607223826	 1.998832429738006	 1005.494408306566	 0.00956942153509771	 0.4450529404990605
217.0	 Peticiones	 83.83136484457737	 2.0	 167.66272968915473	 167.66272968915473	 2.4142161080024943E-5	 0.00201978260574634	 1089.8513370329174	 0.5789305936372777	 1.9998772034554033	 1006.0199721883399	 0.00957523031058198	 0.44528556610997516
